#,Pin,City,State,ODA / Non-ODA Location
1,530028,Visakhapatnam,Andhra Pradesh,Non-ODA
2,533440,Samarlakota,Andhra Pradesh,Non-ODA
3,517299,Madanapalle,Andhra Pradesh,ODA
4,522017,Guntur,Andhra Pradesh,Non-ODA
5,516360,Proddatur,Andhra Pradesh,ODA
6,523271,Kondapi,Andhra Pradesh,ODA
7,532292,Sompeta,Andhra Pradesh,Non-ODA
8,530007,Visakhapatnam,Andhra Pradesh,Non-ODA
9,516193,Badvel,Andhra Pradesh,ODA
10,534004,Eluru,Andhra Pradesh,Non-ODA
11,530009,Visakhapatnam,Andhra Pradesh,Non-ODA
12,516130,Rayachoti,Andhra Pradesh,ODA
13,535217,Vizianagaram,Andhra Pradesh,ODA
14,532215,Tekkali,Andhra Pradesh,Non-ODA
15,521139,Vijayawada,Andhra Pradesh,Non-ODA
16,517571,Puttur-AP,Andhra Pradesh,ODA
17,521190,Nandigama,Andhra Pradesh,ODA
18,515281,Amarapuram,Andhra Pradesh,Non-ODA
19,534204,Bhimavaram,Andhra Pradesh,Non-ODA
20,533107,Rajahmundry,Andhra Pradesh,Non-ODA
21,534269,Palakollu,Andhra Pradesh,Non-ODA
22,516172,Proddatur,Andhra Pradesh,ODA
23,516350,Vempalli,Andhra Pradesh,ODA
24,516233,Badvel,Andhra Pradesh,ODA
25,518206,Betamcherla,Andhra Pradesh,ODA
26,518583,Sirvella,Andhra Pradesh,Non-ODA
27,516163,Cuddapah,Andhra Pradesh,Non-ODA
28,521122,Avanigadda,Andhra Pradesh,ODA
29,517621,Srikalahasti,Andhra Pradesh,ODA
30,518308,Adoni,Andhra Pradesh,Non-ODA
31,523280,Ongole,Andhra Pradesh,Non-ODA
32,534275,Narsapur,Andhra Pradesh,ODA
33,518349,KosigiAP,Andhra Pradesh,ODA
34,515124,Puttaparthi,Andhra Pradesh,Non-ODA
35,522258,Repalle,Andhra Pradesh,ODA
36,516107,Rajampet,Andhra Pradesh,ODA
37,523281,Kandukur,Andhra Pradesh,ODA
38,523241,Podili,Andhra Pradesh,Non-ODA
39,533430,Yerravaram,Andhra Pradesh,Non-ODA
40,522354,Guntur,Andhra Pradesh,ODA
41,522661,Narasaraopet,Andhra Pradesh,Non-ODA
42,523369,Giddalur,Andhra Pradesh,ODA
43,531126,Tuni,Andhra Pradesh,ODA
44,517645,Srikalahasti,Andhra Pradesh,ODA
45,530016,Visakhapatnam,Andhra Pradesh,Non-ODA
46,534227,Tanuku,Andhra Pradesh,ODA
47,530012,Visakhapatnam,Andhra Pradesh,Non-ODA
48,518134,Betamcherla,Andhra Pradesh,ODA
49,515003,Anantapur,Andhra Pradesh,Non-ODA
50,534401,Eluru,Andhra Pradesh,Non-ODA
51,521123,Vijayawada,Andhra Pradesh,ODA
52,533261,Mandapeta,Andhra Pradesh,ODA
53,515763,Kalyandurg,Andhra Pradesh,ODA
54,523302,Martur,Andhra Pradesh,Non-ODA
55,530051,Visakhapatnam,Andhra Pradesh,Non-ODA
56,534196,Tadepalligudem,Andhra Pradesh,ODA
57,522237,Tadikonda,Andhra Pradesh,ODA
58,534126,Tanuku,Andhra Pradesh,Non-ODA
59,522549,Narasaraopet,Andhra Pradesh,ODA
60,518222,Dhone,Andhra Pradesh,Non-ODA
61,531025,Chodavaram,Andhra Pradesh,Non-ODA
62,534250,Palakollu,Andhra Pradesh,Non-ODA
63,515201,Hindupur,Andhra Pradesh,ODA
64,518397,Yemmiganur,Andhra Pradesh,Non-ODA
